,GCF_002055515.1,GCF_003287895.1,GCF_002222595.2,GCF_000769635.1,GCF_000240185.1,GCF_023520795.1,GCF_001558775.1,GCF_010669205.1,GCF_900637655.1,GCF_009648975.1,GCF_000961215.1,GCF_016698705.1,GCF_008632635.1,GCF_900660465.1,GCF_008693705.1,GCF_001865765.1,GCF_015159595.1,GCF_016728665.1,GCF_000959505.1,GCF_003006415.1,GCF_000144405.1,GCF_020405345.1,GCF_016576965.1,GCF_003367905.1,GCF_900660445.2,GCF_001689125.2,GCF_017310215.1,GCF_000013425.1,GCF_006094375.1
2.A.37,0.12,0.12,0.75,0.12,0.12,0.12,0.38,0.25,0.38,0.12,0.0,0.12,1.0,0.12,0.12,0.38,0.12,0.0,0.88,0.12,0.75,0.38,0.12,0.62,0.12,0.12,0.0,0.5,0.88
2.A.38,0.5,0.67,0.67,0.33,0.5,0.5,0.0,0.5,0.33,0.83,0.33,0.17,0.33,0.17,1.0,0.33,0.5,0.5,0.33,0.17,0.67,0.0,0.33,0.67,0.5,0.67,0.0,0.33,0.0
2.A.40,0.43,0.57,1.0,0.43,0.43,0.57,0.71,0.0,0.57,0.43,0.0,0.43,1.0,0.43,0.43,0.71,0.43,0.57,1.0,0.29,1.0,1.0,0.29,1.0,0.43,0.57,0.71,0.71,0.29
2.A.45,0.33,0.33,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.0,1.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0
2.A.49,0.12,0.25,0.12,0.0,0.0,0.0,0.62,0.0,0.12,0.12,0.0,0.12,0.5,0.0,0.0,0.0,0.0,0.12,0.5,0.12,0.12,1.0,0.0,0.12,0.0,0.25,0.12,0.12,0.12
2.A.51,0.4,1.0,0.2,0.0,0.0,0.4,0.6,0.0,0.2,0.6,0.0,0.4,0.2,0.0,0.0,0.8,0.0,0.6,0.0,0.4,0.2,0.8,0.0,0.2,0.0,1.0,0.6,0.2,0.0
2.A.56,0.12,1.0,0.08,0.0,0.0,0.24,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.08,0.12,0.0,0.2,0.0,0.0,0.12
2.A.58,0.75,0.75,0.25,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,1.0,0.5,0.0,0.0
2.A.66.1,0.38,1.0,0.15,0.04,0.02,0.4,0.06,0.02,0.06,0.13,0.02,0.15,0.06,0.02,0.04,0.04,0.04,0.09,0.06,0.13,0.15,0.09,0.02,0.15,0.02,0.83,0.06,0.09,0.02
2.A.66.2,0.8,0.8,0.2,0.0,0.8,0.4,0.4,0.0,0.2,0.4,0.0,0.6,0.2,0.0,0.0,0.2,0.6,0.6,0.4,1.0,0.4,0.6,0.0,0.4,0.4,1.0,0.6,0.2,0.4
2.A.78,0.29,0.57,0.29,0.29,0.0,0.29,0.43,0.0,0.86,0.29,0.0,0.0,0.57,0.29,0.29,1.0,0.0,0.0,0.86,0.0,0.29,0.86,0.29,0.29,0.0,0.29,0.57,0.86,0.0
2.A.79,0.2,0.2,0.4,0.6,1.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.4,0.6,0.0,1.0,0.0,0.4,0.2,0.4,0.0,0.2,0.4,1.0,0.2,0.2,0.0,0.2
2.A.86,0.67,0.83,0.33,0.33,0.33,0.67,0.5,0.0,0.67,0.17,0.0,0.17,1.0,0.5,0.33,0.67,0.33,0.17,1.0,0.17,0.33,0.67,0.5,0.33,0.33,0.67,0.17,0.67,0.5
2.A.87,0.67,1.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.0,1.0,0.0,0.0
2.A.88,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0
2.A.98,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5
2.A.102,0.14,0.14,0.29,0.29,0.43,0.14,0.57,0.0,0.86,0.43,0.0,0.0,0.43,0.57,0.29,1.0,0.43,0.14,0.43,0.0,0.29,0.71,0.43,0.29,0.57,0.14,0.0,0.71,0.29
2.A.103,0.8,1.0,0.4,0.4,0.4,0.8,0.4,0.0,0.4,0.4,0.0,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.0,0.8,0.4,0.4
2.A.107,0.67,1.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.67,0.67,0.0,0.33
2.A.115,0.67,1.0,0.17,0.0,0.33,0.5,0.0,0.17,0.0,0.67,0.0,0.5,0.33,0.0,0.0,0.0,0.33,0.5,0.33,0.33,0.17,0.0,0.0,0.17,0.67,0.83,1.0,0.0,0.0
2.A.119,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0
2.A.122,0.5,0.5,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.0
2.A.124,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.A.127,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.0,0.2,0.0,0.0,0.6,0.0,0.0,0.2,0.4,0.6,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.2
2.A.128,0.11,1.0,0.0,0.33,0.44,0.22,0.0,0.0,0.0,0.44,0.0,0.22,0.33,0.33,0.56,0.0,0.44,0.44,0.22,0.0,0.0,0.33,0.44,0.0,0.33,0.67,0.67,0.0,0.44
2.A.129,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5
3.A.1,0.35,1.0,0.39,0.25,0.27,0.4,0.54,0.05,0.2,0.15,0.04,0.05,0.83,0.24,0.28,0.18,0.31,0.15,0.72,0.09,0.44,0.68,0.2,0.37,0.25,0.86,0.76,0.2,0.16
3.A.2,1.0,1.0,0.42,0.89,0.42,1.0,0.42,0.95,0.42,0.42,0.47,0.47,0.42,0.89,0.89,0.42,0.42,0.42,0.42,0.89,0.42,0.42,0.42,0.42,0.42,0.53,1.0,0.42,0.42
3.A.3.2,1.0,0.67,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.0,0.33,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.67,1.0,0.0,0.0
3.A.3.4,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3.A.3.5,0.67,0.67,0.33,0.67,0.33,0.33,0.33,0.0,1.0,0.33,0.0,0.33,0.67,1.0,1.0,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.67,0.33,0.33,0.0
3.A.3.6,0.2,0.8,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.4,1.0,0.2,0.0,0.0
3.A.3.7,0.75,0.0,0.75,0.0,0.75,1.0,1.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.75,1.0,0.0,1.0,0.0,0.75,1.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75
3.A.5,0.4,0.4,0.8,0.67,0.73,0.33,0.87,0.73,0.67,1.0,0.6,0.27,0.73,0.67,0.67,0.67,0.33,0.27,0.73,0.27,0.8,0.93,0.67,0.8,0.67,0.4,0.67,0.67,0.67
3.A.11,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.0,0.75,0.75,0.5,0.75,0.5,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.5,0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.5
3.A.12,0.5,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0
3.A.29,1.0,1.0,0.33,0.33,0.33,1.0,0.67,0.33,0.33,0.33,0.33,0.0,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.67,0.33,0.67,0.0,0.33,0.33,0.67,1.0,0.33,0.33
3.B.1,0.58,1.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.33,0.0,0.0
4.A.1,0.07,0.0,0.53,0.13,0.8,0.07,0.13,0.07,0.0,0.13,0.0,0.0,1.0,0.13,0.13,0.0,0.6,0.2,0.93,0.0,0.47,0.13,0.0,0.47,0.4,0.0,0.2,0.0,0.0
4.C.3,0.08,0.58,0.08,0.0,0.0,0.0,0.58,0.0,0.25,0.42,0.0,0.08,0.42,0.17,0.0,0.25,0.08,0.33,0.58,0.17,0.08,1.0,0.08,0.25,0.0,0.58,0.25,0.25,0.33
4.D.1,0.12,1.0,0.38,0.0,0.25,0.12,0.75,0.0,0.75,0.38,0.0,0.38,0.5,0.0,0.0,0.25,0.25,0.62,0.5,0.12,0.38,0.5,0.0,0.38,0.12,0.62,0.38,0.5,0.5
4.F.1,0.4,0.6,0.4,0.4,0.2,0.4,0.8,0.2,0.4,0.0,0.2,0.2,0.4,0.4,0.4,0.6,0.2,0.0,0.4,0.4,0.4,0.6,0.4,0.4,0.2,0.4,0.2,0.4,1.0
5.A.1,0.17,0.0,0.5,0.67,0.0,0.17,0.83,0.0,0.17,0.0,0.0,0.17,0.5,0.33,0.5,0.33,0.0,0.0,0.5,0.17,0.5,1.0,0.5,0.5,0.17,0.0,0.33,0.17,0.17
5.B.1,0.12,0.12,0.38,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.12,0.62,0.12,0.0,0.5,0.0,0.38,1.0,0.12,0.5,0.0,0.0,0.12,0.75,0.12
8.A.3,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.5,0.0,0.25,0.5,0.5,0.75,0.0,1.0,0.0,1.0,0.5,0.25,0.25
8.A.5,0.17,0.72,0.17,0.11,0.33,0.28,0.67,0.0,0.17,0.28,0.0,0.06,0.78,0.06,0.11,0.22,0.22,0.11,0.89,0.0,0.22,1.0,0.11,0.17,0.22,0.44,0.39,0.17,0.44
8.A.7,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5
8.A.8,0.6,0.6,0.4,0.4,0.2,0.6,0.2,0.0,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.0,0.4,0.2,0.0,0.6,0.2,0.6,1.0,0.2,0.2
8.A.9,0.67,1.0,0.33,0.17,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.17,0.17,0.0,0.33,0.17,0.33,0.17,0.17,0.0,0.17,0.33,0.17,0.67,0.5,0.0,0.17
8.A.21,0.4,0.4,0.6,0.4,0.0,0.2,1.0,0.0,0.6,0.6,0.0,0.2,0.6,0.2,0.4,0.8,0.0,0.4,0.6,0.2,0.6,0.8,0.2,0.6,0.0,0.4,0.2,0.6,0.4
8.A.159,0.5,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5
8.A.172,0.17,0.17,0.0,0.0,0.17,0.33,0.17,0.0,0.0,0.33,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.33,0.17,0.17,0.17,1.0,0.0,0.0,0.0,0.17,0.33,0.0,0.17
8.A.192,0.33,0.33,0.33,0.67,0.33,1.0,0.33,0.33,0.67,0.33,0.33,0.67,0.67,0.67,0.67,0.67,0.33,0.33,0.67,0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.67,0.67
8.A.195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.A.228,0.25,0.5,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.25,0.5,1.0,0.25,0.5,0.25,0.5,1.0,0.0,0.25
8.A.229,0.25,0.25,1.0,0.75,1.0,0.5,0.75,0.0,0.5,0.75,0.0,0.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.0,0.75,0.75,0.75,0.75,0.75,0.25,0.0,0.5,0.75
9.A.5,0.25,0.5,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.5,0.75,0.25,0.5,0.25,0.0,0.0
9.A.8,0.6,1.0,0.6,0.0,0.2,1.0,0.0,0.0,0.2,0.8,0.0,0.2,0.8,0.2,0.0,0.2,0.2,0.4,0.8,0.2,0.6,0.0,0.0,0.6,0.4,0.8,0.6,0.2,0.2
9.A.23,0.5,0.25,0.0,0.25,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0
9.A.32,1.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.B.2,0.2,0.0,0.2,0.8,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.4,0.2,0.2,1.0,0.0,0.0,0.4,0.2,0.2,0.0,0.2,0.8,0.4,0.4,0.0,0.2
9.B.14,0.33,0.83,0.33,0.17,0.17,0.25,0.17,0.17,0.08,0.0,0.0,0.17,0.25,0.08,0.17,0.17,0.25,0.0,0.33,0.17,0.33,0.17,0.17,0.33,0.42,1.0,0.17,0.08,0.42
9.B.18,0.12,0.69,0.31,0.12,0.25,0.5,1.0,0.0,0.19,0.44,0.06,0.44,0.25,0.19,0.12,0.25,0.25,0.44,0.31,0.56,0.5,0.88,0.19,0.5,0.0,0.56,0.31,0.19,0.5
9.B.20,0.75,1.0,0.75,0.0,0.0,0.75,1.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.25,0.25,0.25,0.75,0.75,0.0,0.5,0.0,0.5,0.5,0.25,0.0
9.B.27,0.25,0.25,0.62,0.25,0.25,0.25,0.75,0.0,0.38,0.38,0.0,0.12,0.88,0.25,0.25,0.5,0.25,0.62,1.0,0.0,0.62,0.25,0.12,0.62,0.25,0.38,0.12,0.25,0.38
9.B.28,0.46,1.0,0.15,0.0,0.23,0.38,0.08,0.0,0.0,0.0,0.0,0.15,0.08,0.08,0.0,0.0,0.0,0.0,0.08,0.15,0.15,0.15,0.0,0.15,0.0,0.92,0.31,0.0,0.08
9.B.31,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.0,0.0
9.B.55,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
9.B.70,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9.B.97,0.17,0.5,0.33,0.33,0.67,0.67,1.0,0.0,0.17,0.5,0.0,0.33,0.83,0.5,0.5,0.5,0.67,0.17,0.5,0.67,0.33,1.0,0.67,0.33,0.5,0.0,0.17,0.33,0.67
